edge,from_node,to_node
1,1,15
2,1,19
3,1,38
4,1,40
5,1,41
6,1,47
7,1,52
8,1,76
9,1,85
10,1,93
11,2,13
12,2,29
13,2,35
14,2,37
15,2,69
16,2,70
17,2,75
18,2,76
19,3,24
20,3,91
21,3,93
22,3,100
23,4,65
24,4,82
25,4,84
26,5,24
27,5,33
28,5,46
29,5,59
30,5,71
31,5,73
32,5,82
33,6,79
34,6,83
35,6,88
36,7,37
37,7,41
38,7,42
39,7,43
40,7,61
41,7,82
42,7,87
43,8,36
44,8,50
45,8,67
46,8,82
47,8,96
48,9,42
49,9,45
50,9,54
51,9,73
52,10,28
53,10,50
54,10,53
55,10,70
56,10,86
57,11,16
58,11,59
59,11,68
60,11,72
61,11,84
62,12,28
63,12,61
64,12,67
65,12,79
66,13,26
67,13,36
68,13,61
69,13,76
70,13,85
71,14,37
72,14,52
73,14,63
74,15,42
75,15,51
76,15,55
77,15,79
78,16,21
79,16,25
80,16,27
81,16,70
82,17,62
83,17,90
84,17,99
85,18,27
86,18,93
87,19,20
88,19,33
89,19,56
90,19,59
91,19,61
92,19,82
93,19,96
94,20,32
95,20,57
96,20,64
97,20,72
98,20,81
99,20,87
100,20,97
101,21,40
102,21,64
103,21,67
104,21,78
105,21,82
106,22,24
107,22,47
108,22,88
109,22,91
110,22,99
111,23,58
112,23,60
113,23,64
114,23,74
115,24,40
116,24,56
117,24,67
118,24,78
119,25,27
120,25,28
121,25,41
122,25,45
123,25,61
124,25,68
125,25,82
126,26,59
127,26,61
128,26,78
129,27,38
130,27,70
131,27,79
132,27,85
133,28,38
134,28,48
135,28,58
136,28,67
137,28,81
138,29,94
139,29,96
140,30,60
141,30,66
142,30,68
143,30,74
144,31,39
145,31,41
146,31,79
147,31,94
148,32,49
149,32,52
150,32,54
151,33,66
152,33,74
153,33,89
154,34,57
155,35,38
156,35,44
157,35,64
158,36,48
159,36,57
160,36,68
161,36,82
162,36,85
163,36,92
164,37,46
165,37,64
166,37,71
167,37,72
168,37,80
169,38,68
170,38,82
171,39,57
172,39,85
173,40,55
174,40,62
175,40,67
176,40,77
177,40,94
178,42,67
179,42,70
180,42,75
181,42,88
182,43,46
183,43,61
184,44,51
185,44,63
186,44,94
187,45,55
188,45,70
189,45,81
190,45,93
191,46,70
192,47,66
193,48,64
194,48,93
195,49,63
196,50,79
197,51,56
198,53,66
199,53,96
200,56,62
201,56,81
202,56,82
203,56,89
204,57,58
205,57,86
206,57,88
207,57,90
208,57,93
209,58,64
210,58,68
211,58,74
212,58,92
213,59,65
214,59,79
215,59,82
216,60,65
217,60,90
218,61,66
219,61,68
220,61,72
221,61,81
222,62,93
223,63,89
224,64,68
225,64,75
226,66,82
227,67,79
228,67,81
229,67,98
230,70,78
231,70,79
232,71,73
233,73,88
234,73,91
235,74,95
236,77,78
237,78,96
238,79,91
239,80,86
240,82,91
241,83,91
242,84,99
243,85,100
244,86,98
245,86,100
246,89,94
247,90,95
248,96,98
249,99,100
