edge,from_node,to_node
1,1,28
2,1,36
3,1,71
4,1,81
5,1,159
6,1,176
7,1,189
8,1,195
9,1,199
10,2,3
11,2,29
12,2,60
13,2,78
14,2,99
15,2,128
16,2,143
17,2,159
18,2,160
19,3,16
20,3,62
21,3,65
22,3,89
23,3,127
24,3,140
25,3,186
26,3,199
27,4,8
28,4,47
29,4,73
30,4,75
31,4,124
32,4,125
33,4,129
34,4,140
35,4,188
36,5,55
37,5,65
38,5,82
39,5,106
40,5,111
41,5,125
42,5,171
43,5,191
44,5,195
45,6,51
46,6,67
47,6,81
48,6,123
49,6,146
50,6,152
51,6,157
52,6,175
53,6,198
54,7,41
55,7,49
56,7,85
57,7,88
58,7,99
59,7,131
60,7,165
61,7,180
62,7,198
63,8,20
64,8,59
65,8,62
66,8,74
67,8,96
68,8,104
69,8,130
70,8,160
71,9,23
72,9,42
73,9,44
74,9,64
75,9,89
76,9,144
77,9,152
78,9,187
79,9,199
80,10,17
81,10,33
82,10,47
83,10,92
84,10,106
85,10,110
86,10,163
87,10,177
88,10,194
89,11,12
90,11,21
91,11,107
92,11,108
93,11,119
94,11,153
95,11,155
96,11,182
97,11,192
98,12,72
99,12,96
100,12,106
101,12,129
102,12,144
103,12,165
104,12,166
105,12,183
106,13,18
107,13,33
108,13,42
109,13,106
110,13,126
111,13,157
112,13,174
113,13,175
114,13,200
115,14,20
116,14,25
117,14,61
118,14,71
119,14,88
120,14,104
121,14,136
122,14,146
123,14,153
124,15,36
125,15,37
126,15,39
127,15,65
128,15,102
129,15,132
130,15,138
131,15,147
132,15,192
133,16,49
134,16,53
135,16,92
136,16,124
137,16,126
138,16,138
139,16,175
140,16,189
141,17,36
142,17,38
143,17,50
144,17,102
145,17,115
146,17,137
147,17,176
148,17,187
149,18,34
150,18,43
151,18,50
152,18,57
153,18,134
154,18,145
155,18,152
156,18,159
157,19,34
158,19,39
159,19,60
160,19,122
161,19,126
162,19,130
163,19,139
164,19,146
165,19,181
166,20,29
167,20,32
168,20,52
169,20,53
170,20,69
171,20,121
172,20,149
173,21,51
174,21,58
175,21,75
176,21,86
177,21,91
178,21,105
179,21,153
180,21,184
181,22,73
182,22,78
183,22,83
184,22,89
185,22,107
186,22,136
187,22,140
188,22,145
189,22,188
190,23,25
191,23,64
192,23,93
193,23,103
194,23,109
195,23,145
196,23,177
197,23,178
198,24,84
199,24,86
200,24,99
201,24,111
202,24,113
203,24,119
204,24,124
205,24,143
206,24,190
207,25,58
208,25,62
209,25,87
210,25,129
211,25,146
212,25,148
213,25,200
214,26,28
215,26,57
216,26,72
217,26,108
218,26,176
219,26,180
220,26,189
221,26,191
222,26,197
223,27,28
224,27,38
225,27,53
226,27,74
227,27,75
228,27,89
229,27,116
230,27,122
231,27,181
232,28,83
233,28,112
234,28,121
235,28,141
236,28,164
237,28,172
238,29,45
239,29,65
240,29,101
241,29,111
242,29,139
243,29,169
244,29,195
245,30,64
246,30,83
247,30,97
248,30,136
249,30,154
250,30,162
251,30,174
252,30,181
253,30,185
254,31,100
255,31,114
256,31,125
257,31,152
258,31,154
259,31,157
260,31,176
261,31,184
262,31,193
263,32,33
264,32,40
265,32,49
266,32,105
267,32,118
268,32,121
269,32,163
270,32,183
271,33,44
272,33,54
273,33,81
274,33,115
275,33,131
276,33,137
277,34,55
278,34,76
279,34,77
280,34,92
281,34,95
282,34,103
283,34,117
284,35,62
285,35,63
286,35,73
287,35,74
288,35,93
289,35,112
290,35,119
291,35,130
292,35,136
293,36,39
294,36,52
295,36,53
296,36,82
297,36,166
298,36,167
299,37,64
300,37,68
301,37,72
302,37,101
303,37,105
304,37,106
305,37,164
306,37,173
307,38,105
308,38,113
309,38,135
310,38,136
311,38,146
312,38,179
313,38,188
314,39,125
315,39,135
316,39,159
317,39,168
318,39,175
319,39,196
320,40,68
321,40,104
322,40,106
323,40,118
324,40,132
325,40,133
326,40,197
327,40,198
328,41,75
329,41,76
330,41,85
331,41,90
332,41,91
333,41,95
334,41,109
335,41,120
336,42,46
337,42,47
338,42,79
339,42,107
340,42,167
341,42,173
342,42,191
343,43,52
344,43,55
345,43,68
346,43,70
347,43,85
348,43,108
349,43,162
350,43,180
351,44,48
352,44,50
353,44,100
354,44,125
355,44,128
356,44,140
357,44,166
358,45,67
359,45,86
360,45,89
361,45,93
362,45,168
363,45,170
364,45,197
365,45,199
366,46,87
367,46,89
368,46,106
369,46,109
370,46,113
371,46,128
372,46,170
373,46,182
374,47,60
375,47,93
376,47,125
377,47,126
378,47,131
379,47,174
380,48,54
381,48,59
382,48,72
383,48,89
384,48,115
385,48,177
386,48,184
387,48,195
388,49,56
389,49,58
390,49,81
391,49,130
392,49,156
393,49,190
394,50,101
395,50,125
396,50,135
397,50,146
398,50,151
399,50,158
400,51,65
401,51,81
402,51,120
403,51,142
404,51,169
405,51,181
406,51,187
407,52,70
408,52,75
409,52,76
410,52,96
411,52,178
412,52,184
413,53,72
414,53,86
415,53,91
416,53,104
417,53,151
418,54,102
419,54,103
420,54,114
421,54,141
422,54,157
423,54,161
424,54,177
425,55,67
426,55,79
427,55,82
428,55,121
429,55,123
430,55,126
431,56,96
432,56,102
433,56,142
434,56,155
435,56,165
436,56,179
437,56,188
438,56,193
439,57,59
440,57,72
441,57,156
442,57,165
443,57,171
444,57,174
445,57,193
446,58,77
447,58,80
448,58,83
449,58,105
450,58,114
451,58,145
452,59,93
453,59,98
454,59,132
455,59,150
456,59,152
457,59,174
458,60,67
459,60,73
460,60,116
461,60,155
462,60,170
463,60,185
464,61,92
465,61,94
466,61,96
467,61,98
468,61,133
469,61,171
470,61,194
471,61,198
472,62,68
473,62,92
474,62,117
475,62,141
476,62,198
477,63,64
478,63,65
479,63,72
480,63,90
481,63,101
482,63,134
483,63,154
484,63,173
485,64,102
486,64,148
487,64,155
488,64,173
489,65,118
490,65,131
491,65,139
492,66,84
493,66,111
494,66,112
495,66,114
496,66,120
497,66,124
498,66,128
499,66,155
500,66,185
501,67,89
502,67,143
503,67,159
504,67,170
505,67,192
506,68,69
507,68,90
508,68,103
509,68,138
510,68,172
511,69,93
512,69,111
513,69,149
514,69,183
515,69,185
516,69,196
517,69,200
518,70,73
519,70,87
520,70,120
521,70,128
522,70,149
523,70,164
524,70,180
525,71,82
526,71,100
527,71,103
528,71,106
529,71,147
530,71,169
531,71,184
532,72,122
533,72,186
534,73,81
535,73,95
536,73,128
537,73,137
538,74,83
539,74,121
540,74,137
541,74,146
542,74,179
543,74,200
544,75,113
545,75,121
546,75,152
547,75,177
548,76,87
549,76,112
550,76,136
551,76,154
552,76,188
553,76,193
554,77,100
555,77,124
556,77,153
557,77,160
558,77,162
559,77,172
560,77,191
561,78,109
562,78,116
563,78,118
564,78,142
565,78,149
566,78,163
567,78,193
568,79,98
569,79,137
570,79,158
571,79,166
572,79,168
573,79,174
574,79,182
575,80,92
576,80,100
577,80,113
578,80,130
579,80,132
580,80,153
581,80,190
582,80,198
583,81,91
584,81,144
585,81,172
586,82,115
587,82,124
588,82,168
589,82,186
590,82,192
591,83,106
592,83,151
593,83,180
594,83,195
595,84,88
596,84,116
597,84,134
598,84,139
599,84,150
600,84,160
601,84,164
602,85,111
603,85,124
604,85,172
605,85,184
606,85,187
607,85,193
608,86,133
609,86,141
610,86,145
611,86,166
612,86,191
613,87,99
614,87,110
615,87,123
616,87,148
617,87,156
618,88,91
619,88,122
620,88,127
621,88,153
622,88,164
623,88,176
624,89,186
625,90,94
626,90,127
627,90,131
628,90,162
629,90,172
630,90,197
631,91,123
632,91,156
633,91,186
634,91,188
635,92,150
636,92,173
637,92,182
638,93,147
639,93,162
640,93,168
641,94,95
642,94,101
643,94,103
644,94,110
645,94,114
646,94,140
647,94,148
648,95,121
649,95,124
650,95,138
651,95,175
652,95,182
653,96,98
654,96,113
655,96,141
656,96,177
657,97,99
658,97,103
659,97,107
660,97,120
661,97,126
662,97,142
663,97,167
664,97,182
665,98,110
666,98,112
667,98,144
668,98,149
669,98,169
670,99,153
671,99,154
672,99,161
673,99,186
674,100,139
675,100,150
676,100,179
677,100,192
678,101,153
679,101,171
680,101,178
681,101,190
682,102,115
683,102,118
684,102,157
685,102,171
686,103,183
687,103,191
