edge,from_node,to_node,duration
1,1,575,38
2,1,393,3
3,1,267,7
4,1,654,13
5,1,785,3
6,1,274,31
7,1,403,5
8,1,430,4
9,1,539,22
10,1,158,27
11,1,37,26
12,1,411,7
13,1,684,22
14,1,558,54
15,1,693,14
16,1,311,34
17,1,186,27
18,1,444,5
19,1,447,20
20,1,324,39
21,1,714,37
22,1,334,15
23,1,721,4
24,1,90,8
25,1,602,7
26,1,569,8
27,1,733,16
28,1,357,46
29,1,360,24
30,1,235,4
31,1,363,34
32,1,237,18
33,1,316,11
34,1,636,13
35,2,512,20
36,2,6,145
37,2,518,12
38,2,10,176
39,2,528,69
40,2,19,104
41,2,531,207
42,2,22,5
43,2,23,4
44,2,537,42
45,2,539,39
46,2,542,13
47,2,32,3
48,2,179,22
49,2,776,3
50,2,57,5
51,2,59,12
52,2,62,15
53,2,580,45
54,2,581,68
55,2,75,32
56,2,78,8
57,2,595,46
58,2,93,9
59,2,609,3
60,2,611,35
61,2,101,81
62,2,102,47
63,2,103,111
64,2,616,3
65,2,111,18
66,2,115,6
67,2,701,100
68,2,630,229
69,2,124,3
70,2,125,82
71,2,637,4
72,2,127,82
73,2,639,80
74,2,643,65
75,2,134,3
76,2,646,78
77,2,647,4
78,2,648,112
79,2,650,8
80,2,141,142
81,2,144,4
82,2,147,3
83,2,150,3
84,2,662,30
85,2,153,10
86,2,665,3
87,2,666,3
88,2,157,46
89,2,160,139
90,2,672,4
91,2,676,3
92,2,681,3
93,2,171,4
94,2,683,197
95,2,685,53
96,2,687,184
97,2,178,4
98,2,690,53
99,2,694,13
100,2,699,24
101,2,190,71
102,2,117,73
103,2,706,187
104,2,711,4
105,2,712,3
106,2,203,4
107,2,715,4
108,2,205,5
109,2,214,8
110,2,215,4
111,2,735,100
112,2,226,39
113,2,227,24
114,2,739,111
115,2,230,27
116,2,238,182
117,2,239,80
118,2,241,77
119,2,759,150
120,2,760,139
121,2,762,7
122,2,763,30
123,2,255,8
124,2,256,11
125,2,772,12
126,2,773,3
127,2,263,15
128,2,264,4
129,2,778,139
130,2,268,8
131,2,781,75
132,2,274,4
133,2,278,3
134,2,285,15
135,2,290,4
136,2,293,59
137,2,294,7
138,2,296,11
139,2,297,3
140,2,299,219
141,2,303,5
142,2,306,59
143,2,320,7
144,2,321,130
145,2,328,15
146,2,332,4
147,2,334,5
148,2,335,99
149,2,228,19
150,2,349,32
151,2,354,3
152,2,359,79
153,2,361,5
154,2,363,94
155,2,366,5
156,2,367,15
157,2,377,6
158,2,382,145
159,2,384,18
160,2,394,85
161,2,398,269
162,2,402,65
163,2,409,81
164,2,418,4
165,2,426,119
166,2,446,13
167,2,474,16
168,2,475,165
169,2,251,5
170,2,486,18
171,2,490,54
172,2,503,119
173,2,119,5
174,2,509,3
175,3,516,5
176,3,7,5
177,3,519,9
178,3,9,3
179,3,13,194
180,3,526,158
181,3,27,8
182,3,30,23
183,3,5,3
184,3,545,5
185,3,552,38
186,3,554,4
187,3,557,88
188,3,562,6
189,3,54,176
190,3,567,18
191,3,61,131
192,3,181,10
193,3,575,5
194,3,577,120
195,3,73,101
196,3,74,34
197,3,76,6
198,3,77,10
199,3,78,86
200,3,85,4
201,3,598,4
202,3,599,45
203,3,91,17
204,3,603,28
205,3,99,8
206,3,628,4
207,3,118,90
208,3,120,7
209,3,132,37
210,3,136,110
211,3,142,198
212,3,144,3
213,3,147,6
214,3,661,15
215,3,151,35
216,3,678,6
217,3,169,10
218,3,684,11
219,3,174,17
220,3,692,4
221,3,694,55
222,3,188,3
223,3,117,13
224,3,198,6
225,3,716,3
226,3,717,39
227,3,208,3
228,3,221,3
229,3,734,7
230,3,736,134
231,3,227,7
232,3,228,4
233,3,229,7
234,3,233,6
235,3,746,34
236,3,240,4
237,3,244,3
238,3,757,108
239,3,758,48
240,3,770,8
241,3,260,3
242,3,262,9
243,3,776,5
244,3,274,70
245,3,277,10
246,3,284,4
247,3,289,8
248,3,292,121
249,3,307,7
250,3,309,3
251,3,314,15
252,3,565,8
253,3,325,68
254,3,225,6
255,3,354,10
256,3,363,19
257,3,368,5
258,3,385,4
259,3,387,6
260,3,393,21
261,3,395,3
262,3,401,21
263,3,406,51
264,3,408,3
265,3,410,21
266,3,415,11
267,3,751,23
268,3,427,10
269,3,434,14
270,3,439,3
271,3,440,3
272,3,451,4
273,3,461,3
274,3,467,12
275,3,470,5
276,3,483,4
277,3,495,69
278,3,500,8
279,3,501,4
280,4,511,53
281,4,502,16
282,4,469,19
283,4,517,6
284,4,518,79
285,4,136,110
286,4,9,3
287,4,138,3
288,4,705,16
289,4,684,21
290,4,783,18
291,4,401,38
292,4,530,110
293,4,403,7
294,4,493,143
295,4,277,16
296,4,151,5
297,4,535,42
298,4,664,62
299,4,27,3
300,4,158,3
301,4,670,5
302,4,287,96
303,4,36,53
304,4,167,3
305,4,169,3
306,4,171,38
307,4,556,20
308,4,76,168
309,4,305,5
310,4,370,47
311,4,445,99
312,4,181,50
313,4,694,46
314,4,755,58
315,4,569,65
316,4,478,51
317,4,777,18
318,4,393,6
319,4,692,66
320,4,448,3
321,4,577,30
322,4,195,187
323,4,323,57
324,4,324,112
325,4,325,6
326,4,608,3
327,4,73,5
328,4,586,65
329,4,758,107
330,4,589,21
331,4,396,3
332,4,510,25
333,4,596,3
334,4,86,79
335,4,624,11
336,4,599,160
337,4,547,4
338,4,462,259
339,4,95,4
340,4,262,64
341,4,97,51
342,4,229,19
343,4,100,4
344,4,612,3
345,4,714,41
346,4,359,4
347,4,744,9
348,4,236,217
349,4,450,25
350,4,444,4
351,4,623,3
352,4,318,4
353,4,114,58
354,4,740,141
355,4,627,138
356,4,390,34
357,4,247,84
358,4,634,3
359,4,126,3
360,4,255,144
361,5,518,9
362,5,519,4
363,5,10,14
364,5,13,189
365,5,526,122
366,5,19,27
367,5,535,114
368,5,538,122
369,5,28,3
370,5,32,3
371,5,33,37
372,5,546,31
373,5,42,3
374,5,43,54
375,5,555,3
376,5,556,3
377,5,557,104
378,5,562,13
379,5,52,3
380,5,565,5
381,5,571,50
382,5,575,10
383,5,76,20
384,5,596,3
385,5,91,203
386,5,603,160
387,5,97,11
388,5,609,3
389,5,610,3
390,5,101,3
391,5,111,30
392,5,112,14
393,5,117,86
394,5,122,69
395,5,637,257
396,5,639,9
397,5,640,5
398,5,130,25
399,5,132,4
400,5,144,152
401,5,656,9
402,5,658,46
403,5,156,4
404,5,159,3
405,5,675,3
406,5,677,150
407,5,167,64
408,5,171,8
409,5,175,158
410,5,690,8
411,5,180,20
412,5,181,3
413,5,694,97
414,5,695,6
415,5,698,20
416,5,701,3
417,5,193,140
418,5,707,4
419,5,710,142
420,5,203,5
421,5,716,183
422,5,717,107
423,5,718,10
424,5,208,11
425,5,211,47
426,5,24,10
427,5,726,54
428,5,730,53
429,5,732,114
430,5,733,3
431,5,225,165
432,5,741,101
433,5,743,3
434,5,746,67
435,5,747,6
436,5,240,61
437,5,757,50
438,5,763,3
439,5,770,131
440,5,771,10
441,5,772,12
442,5,776,61
443,5,777,21
444,5,275,142
445,5,46,117
446,5,277,120
447,5,281,43
448,5,284,140
449,5,287,141
450,5,289,3
451,5,292,3
452,5,293,7
453,5,298,21
454,5,303,134
455,5,307,3
456,5,312,25
457,5,314,7
458,5,334,179
459,5,343,8
460,5,349,3
461,5,655,31
462,5,355,3
463,5,363,168
464,5,378,11
465,5,379,71
466,5,383,3
467,5,385,37
468,5,390,32
469,5,391,4
470,5,398,4
471,5,402,4
472,5,406,64
473,5,408,5
474,5,410,105
475,5,414,27
476,5,415,321
477,5,421,11
