edge,from_node,to_node,duration
1,1,128,38
2,1,68,4
3,1,37,8
4,1,262,123
5,1,135,47
6,1,109,8
7,1,77,18
8,1,175,10
9,1,276,85
10,1,249,3
11,1,164,5
12,2,22,11
13,2,263,29
14,2,136,18
15,2,19,27
16,2,148,24
17,2,278,8
18,2,323,3
19,2,31,10
20,2,163,21
21,2,41,7
22,2,300,4
23,2,177,5
24,2,51,3
25,2,180,4
26,2,310,6
27,2,52,7
28,2,195,12
29,2,68,7
30,2,325,4
31,2,199,62
32,2,203,3
33,2,213,5
34,2,228,64
35,2,221,94
36,2,96,97
37,2,100,1682
38,2,105,9
39,2,242,1611
40,2,115,3
41,2,121,86
42,3,257,3
43,3,265,3
44,3,268,117
45,3,142,10
46,3,273,511
47,3,155,84
48,3,157,151
49,3,32,27
50,3,161,7
51,3,293,134
52,3,40,56
53,3,301,3
54,3,284,5
55,3,185,20
56,3,58,492
57,3,317,7
58,3,71,18
59,3,73,10
60,3,81,12
61,3,217,93
62,3,219,3
63,3,92,6
64,3,190,5
65,4,129,6
66,4,98,19
67,4,72,25
68,4,12,26
69,4,271,29
70,4,305,31
71,4,115,8
72,4,277,25
73,4,151,874
74,4,313,4
75,4,314,6
76,4,316,9
77,4,94,3
78,5,288,3
79,5,289,25
80,5,282,33
81,5,196,12
82,5,229,5
83,5,102,6
84,5,97,2949
85,5,8,15
86,5,283,7
87,5,119,5
88,5,13,299
89,5,84,600
90,5,245,114
91,5,214,3
92,5,201,5
93,5,184,13
94,5,326,18
95,5,251,30
96,5,28,62
97,5,62,5
98,5,247,10
99,6,35,11
100,6,10,10
101,6,44,42
102,6,45,11
103,6,254,48
104,6,159,5
105,7,131,13
106,7,267,41
107,7,140,15
108,7,15,158
109,7,67,20
110,7,20,14
111,7,281,6
112,7,239,36
113,7,30,74
114,7,33,224
115,7,165,3
116,7,38,3
117,7,294,284
118,7,48,11
119,7,52,6
120,7,158,5
121,7,54,18
122,7,57,15
123,7,60,4
124,7,215,38
125,7,318,17
126,7,319,3
127,7,321,59
128,7,11,5
129,7,202,47
130,7,76,3
131,7,205,6
132,7,207,252
133,7,210,29
134,7,139,3
135,7,85,20
136,7,87,155
137,7,91,91
138,7,166,78
139,7,111,4
140,7,244,165
141,7,247,5
142,7,212,5
143,7,252,3
144,8,13,40
145,8,154,9
146,8,282,3
147,8,289,3
148,8,36,4
149,8,297,3
150,8,173,4
151,8,302,27
152,8,309,82
153,8,184,4
154,8,312,7
155,8,186,28
156,8,187,6
157,8,61,32
158,8,322,16
159,8,198,28
160,8,326,3
161,8,162,8
162,8,141,8
163,8,214,22
164,8,88,3
165,8,97,11
166,8,238,19
167,8,245,17
168,8,255,8
169,9,64,3
170,9,289,4
171,9,99,3
172,9,36,8
173,9,229,50
174,9,103,5
175,9,295,3
176,9,188,4
177,9,203,5
178,9,45,27
179,9,232,5
180,9,35,17
181,9,86,11
182,9,119,65
183,9,28,3
184,9,61,9
185,10,266,28
186,10,140,18
187,10,146,3
188,10,275,4
189,10,152,6
190,10,25,8
191,10,166,29
192,10,168,21
193,10,172,36
194,10,46,10
195,10,308,32
196,10,183,14
