edge,from_node,to_node,duration
1,1,2,18
2,1,3,6
3,1,4,44
4,1,5,4
5,1,6,4
6,1,141,39
7,1,131,9
8,1,152,10
9,1,156,3
10,1,33,32
11,1,45,21
12,1,53,6
13,1,71,29
14,1,88,9
15,1,227,11
16,1,230,19
17,1,231,9
18,1,234,3
19,1,238,18
20,1,239,5
21,1,240,19
22,1,241,77
23,1,242,29
24,2,3,59
25,2,4,9
26,2,5,16
27,2,6,6
28,2,136,5
29,2,141,135
30,2,15,6
31,2,145,5
32,2,131,13
33,2,238,51
34,2,152,32
35,2,155,4
36,2,160,6
37,2,33,8
38,2,45,27
39,2,177,9
40,2,71,71
41,2,200,5
42,2,202,5
43,2,13,3
44,2,88,7
45,2,227,52
46,2,230,121
47,2,231,22
48,2,242,35
49,2,234,6
50,2,110,3
51,2,240,12
52,2,241,4
53,2,114,3
54,3,131,101
55,3,4,10
56,3,5,17
57,3,6,7
58,3,141,11
59,3,150,3
60,3,152,242
61,3,155,50
62,3,156,3
63,3,166,42
64,3,45,11
65,3,50,5
66,3,51,4
67,3,60,4
68,3,67,32
69,3,71,193
70,3,203,10
71,3,219,7
72,3,226,3
73,3,227,47
74,3,230,23
75,3,231,38
76,3,238,5
77,3,239,7
78,3,240,29
79,3,241,8
80,3,242,20
81,4,5,109
82,4,6,44
83,4,141,34
84,4,145,46
85,4,131,6
86,4,22,3
87,4,152,7
88,4,150,36
89,4,160,11
90,4,33,5
91,4,163,4
92,4,171,7
93,4,45,15
94,4,177,6
95,4,50,3
96,4,51,3
97,4,181,4
98,4,56,7
99,4,64,7
100,4,71,13
101,4,200,8
102,4,209,5
103,4,88,29
104,4,227,17
105,4,230,63
106,4,231,15
107,4,234,15
108,4,238,3
109,4,239,13
110,4,240,47
111,4,241,7
112,4,242,69
113,5,131,42
114,5,6,8
115,5,141,14
116,5,142,7
117,5,145,3
118,5,22,3
119,5,152,77
120,5,160,3
121,5,33,18
122,5,177,4
123,5,45,38
124,5,49,31
125,5,50,6
126,5,187,5
127,5,64,4
128,5,194,3
129,5,67,3
130,5,66,3
131,5,71,54
132,5,200,6
133,5,207,5
134,5,209,3
135,5,210,33
136,5,88,13
137,5,227,65
138,5,230,13
139,5,103,4
140,5,231,54
141,5,238,3
142,5,239,53
143,5,240,67
144,5,241,96
145,5,242,27
146,6,131,14
147,6,7,35
148,6,8,8
149,6,10,15
150,6,141,9
151,6,15,4
152,6,20,6
153,6,150,4
154,6,152,13
155,6,196,3
156,6,155,8
157,6,156,3
158,6,33,4
159,6,171,8
160,6,45,15
161,6,56,15
162,6,60,7
163,6,65,9
164,6,68,18
165,6,71,15
166,6,74,4
167,6,203,7
168,6,88,152
169,6,240,3
170,6,227,14
171,6,230,10
172,6,231,13
173,6,106,4
174,6,238,3
175,6,239,8
176,6,112,13
177,6,241,63
178,6,242,60
179,6,116,4
180,6,234,6
181,7,149,45
182,7,129,42
183,7,135,21
184,7,8,20
185,7,9,20
186,7,10,32
187,7,11,34
188,7,12,13
189,7,14,95
190,7,15,22
191,7,16,72
192,7,17,72
193,7,18,3
194,7,144,21
195,7,20,136
196,7,21,20
197,7,24,91
198,7,153,3
199,7,154,13
200,7,156,47
201,7,30,3
202,7,159,3
203,7,160,3
204,7,34,5
205,7,146,40
206,7,172,4
207,7,175,4
208,7,182,4
209,7,55,3
210,7,184,8
211,7,186,4
212,7,223,16
213,7,61,14
214,7,68,10
215,7,197,15
216,7,71,5
217,7,73,70
218,7,74,6
219,7,75,9
220,7,162,7
221,7,78,33
222,7,80,7
223,7,209,6
224,7,84,4
225,7,85,14
226,7,86,5
227,7,87,11
228,7,88,5
229,7,89,35
230,7,93,11
231,7,95,5
232,7,97,17
233,7,100,3
234,7,166,3
235,7,103,3
236,7,106,7
237,7,107,6
238,7,109,3
239,7,110,66
240,7,140,5
241,7,122,50
242,7,123,34
243,7,127,3
244,8,149,19
245,8,129,6
246,8,130,10
247,8,9,172
248,8,10,33
249,8,11,22
250,8,12,192
251,8,13,3
252,8,14,18
253,8,15,21
254,8,16,34
255,8,17,37
256,8,18,45
257,8,20,56
258,8,21,29
259,8,24,8
260,8,153,3
261,8,32,4
262,8,162,117
263,8,35,14
264,8,134,3
265,8,135,14
266,8,175,3
267,8,54,3
268,8,55,3
269,8,184,4
270,8,60,3
271,8,61,154
272,8,68,264
273,8,197,3
274,8,200,3
275,8,73,9
276,8,202,6
277,8,75,12
278,8,78,31
279,8,207,3
280,8,83,10
281,8,84,47
282,8,85,9
283,8,87,6
284,8,88,14
285,8,89,18
286,8,93,5
287,8,223,3
288,8,97,3
289,8,226,4
290,8,99,5
291,8,100,10
292,8,106,4
293,8,109,4
294,8,110,10
295,8,242,3
296,8,115,19
297,8,122,24
298,8,125,7
299,8,127,5
300,9,129,16
301,9,134,25
302,9,10,121
303,9,11,26
304,9,12,14
305,9,14,9
306,9,15,25
307,9,16,33
308,9,17,13
309,9,18,67
310,9,20,95
311,9,21,25
312,9,24,6
313,9,153,4
314,9,135,9
315,9,61,183
316,9,68,87
317,9,73,23
318,9,75,12
319,9,78,22
320,9,83,4
321,9,84,3
322,9,85,108
323,9,87,23
324,9,89,18
325,9,91,6
326,9,93,121
327,9,95,4
328,9,97,17
329,9,99,7
330,9,122,4
331,10,129,11
332,10,11,40
333,10,12,25
334,10,14,72
335,10,15,211
336,10,16,16
337,10,17,21
338,10,18,158
339,10,144,9
340,10,20,125
341,10,21,32
342,10,24,18
343,10,154,10
344,10,155,17
345,10,156,4
346,10,159,38
347,10,34,3
348,10,35,13
349,10,166,10
350,10,135,8
351,10,175,55
352,10,136,4
353,10,182,11
354,10,184,4
355,10,187,5
356,10,61,241
357,10,203,8
358,10,68,84
359,10,71,25
360,10,73,34
361,10,75,5
362,10,76,9
363,10,162,13
364,10,80,6
365,10,83,15
366,10,84,7
367,10,85,4
368,10,86,6
369,10,87,115
370,10,88,38
371,10,89,67
372,10,90,45
373,10,91,14
374,10,220,5
375,10,97,12
376,10,100,13
377,10,106,13
378,10,146,18
379,10,110,29
380,10,189,47
381,10,240,3
382,10,120,5
383,10,122,23
384,10,123,18
385,10,149,25
386,11,129,3
387,11,171,31
388,11,12,11
389,11,13,3
390,11,14,6
391,11,15,16
392,11,16,25
393,11,17,352
394,11,18,35
395,11,20,17
396,11,21,109
397,11,24,95
398,11,237,3
399,11,166,4
400,11,135,4
401,11,55,4
402,11,61,32
403,11,68,138
404,11,71,4
405,11,200,25
406,11,73,26
407,11,75,9
408,11,78,15
409,11,83,3
410,11,85,4
411,11,87,37
412,11,89,139
413,11,91,3
414,11,97,50
415,11,99,7
416,11,234,8
417,11,146,4
418,11,140,4
419,12,129,3
420,12,130,7
421,12,134,5
422,12,14,3
423,12,15,67
424,12,16,23
425,12,17,16
426,12,18,115
427,12,20,8
428,12,21,17
429,12,24,10
430,12,162,11
431,12,135,11
432,12,61,69
433,12,62,3
434,12,68,49
435,12,73,155
