node,node_name,node_type
1,1,1538
2,2,1539
3,3,1545
4,4,1546
5,5,1548
6,6,1549
7,7,1551
8,8,1552
9,9,1555
10,10,1558
11,11,1560
12,12,1562
13,13,1563
14,14,1564
15,15,1567
16,16,1570
17,17,1572
18,18,1574
19,19,1578
20,20,1579
21,21,1580
22,22,1585
23,23,1592
24,24,1594
25,25,1601
26,26,1603
27,27,1604
28,28,1606
29,29,1609
30,30,1613
31,31,1616
32,32,1617
33,33,1618
34,34,1625
35,35,1628
36,36,1630
37,37,1632
38,38,1637
39,39,1641
40,40,1643
41,41,1647
42,42,1648
43,43,1649
44,44,1650
45,45,1653
46,46,1656
47,47,1661
48,48,1663
49,49,1664
50,50,1665
51,51,1666
52,52,1668
53,53,1670
54,54,1673
55,55,1674
56,56,1675
57,57,1680
58,58,1681
59,59,1682
60,60,1684
61,61,1685
62,62,1687
63,63,1688
64,64,1695
65,65,1696
66,66,1697
67,67,1698
68,68,1700
69,69,1702
70,70,1704
71,71,1705
72,72,1706
73,73,1707
74,74,1708
75,75,1709
76,76,1710
77,77,1711
78,78,1712
79,79,1713
80,80,1714
81,81,1715
82,82,1718
83,83,1719
84,84,1720
85,85,1722
86,86,1723
87,87,1727
88,88,1730
89,89,1731
90,90,1732
91,91,1735
92,92,1737
93,93,1738
94,94,1739
95,95,1741
96,96,1743
97,97,1744
98,98,1745
99,99,1746
100,100,1748
101,101,1749
102,102,1750
103,103,1751
104,104,1752
105,105,1753
106,106,1757
107,107,1759
108,108,1760
109,109,1761
110,110,1763
111,111,1764
112,112,1765
113,113,1766
114,114,1767
115,115,1768
116,116,1770
117,117,1772
118,118,1774
119,119,1775
120,120,1778
121,121,1779
122,122,1780
123,123,1782
124,124,1783
125,125,1787
126,126,1789
127,127,1790
128,128,1792
129,129,1795
130,130,1796
131,131,1797
132,132,1798
133,133,1799
134,134,1800
135,135,1801
136,136,1802
137,137,1803
138,138,1805
139,139,1807
140,140,1809
141,141,1815
142,142,1818
143,143,1819
144,144,1820
145,145,1821
146,146,1822
147,147,1824
148,148,1831
149,149,1833
150,150,1835
151,151,1836
152,152,1837
153,153,1838
154,154,1843
155,155,1847
156,156,1851
157,157,1852
158,158,1854
159,159,1855
160,160,1857
161,161,1858
162,162,1859
163,163,1861
164,164,1863
165,165,1865
166,166,1866
167,167,1872
168,168,1877
169,169,1880
170,170,1883
171,171,1885
172,172,1887
173,173,1888
174,174,1889
175,175,1890
176,176,1892
177,177,1895
178,178,1897
179,179,1898
180,180,1902
181,181,1906
182,182,1907
183,183,1908
184,184,1909
185,185,1910
186,186,1911
187,187,1912
188,188,1913
189,189,1916
190,190,1917
191,191,1919
192,192,1920
193,193,1922
194,194,1426
195,195,1427
196,196,1428
197,197,1429
198,198,1430
199,199,1431
200,200,1434
201,201,1435
202,202,1437
203,203,1439
204,204,1441
205,205,1443
206,206,1451
207,207,1452
208,208,1453
209,209,1457
210,210,1458
211,211,1459
212,212,1461
213,213,1465
214,214,1468
215,215,1471
216,216,1475
217,217,1477
218,218,1479
219,219,1480
220,220,1482
221,221,1483
222,222,1486
223,223,1489
224,224,1493
225,225,1495
226,226,1498
227,227,1500
228,228,1501
229,229,1502
230,230,1503
231,231,1504
232,232,1511
233,233,1516
234,234,1519
235,235,1520
236,236,1521
237,237,1522
238,238,1524
239,239,1525
240,240,1528
241,241,1532
242,242,1533
