edge,from_node,to_node,duration
1,1,24,6
2,1,41,9
3,1,5,3
4,1,23,29
5,2,88,41
6,2,89,4
7,2,19,80
8,2,53,8
9,2,30,37
10,3,34,5
11,3,8,8
12,3,72,14
13,3,12,9
14,3,77,13
15,3,78,7
16,3,48,3
17,3,40,6
18,3,22,13
19,3,9,8
20,3,58,5
21,3,15,4
22,3,61,4
23,4,8,6
24,4,79,4
25,4,12,22
26,4,21,22
27,5,35,6
28,5,7,26
29,5,10,6
30,5,13,22
31,5,19,32
32,5,52,4
33,5,24,4
34,5,28,7
35,5,73,7
36,6,65,5
37,6,75,15
38,6,49,5
39,6,62,13
40,6,63,3
41,7,64,3
42,7,35,29
43,7,41,6
44,7,73,4
45,7,44,39
46,7,13,6
47,7,14,7
48,7,47,11
49,7,19,11
50,7,24,40
51,7,57,3
52,7,89,3
53,7,27,4
54,7,28,22
55,7,30,5
56,8,34,3
57,8,40,5
58,8,72,4
59,8,12,33
60,8,78,3
61,8,48,26
62,8,9,3
63,9,32,34
64,9,34,21
65,9,72,11
66,9,74,97
67,9,77,4
68,9,15,22
69,9,48,3
70,9,27,6
71,9,20,3
72,9,22,34
73,9,56,5
74,9,58,10
75,9,78,31
76,9,61,23
77,10,64,5
78,10,33,101
79,10,19,3
80,10,73,8
81,10,74,4
82,10,44,4
83,10,47,7
84,10,81,29
85,10,82,4
86,11,66,4
87,11,36,22
88,11,37,17
89,11,46,129
90,11,79,42
91,11,17,3
92,11,85,337
93,11,86,74
94,11,25,47
95,11,90,12
96,11,29,4
97,11,31,27
98,12,48,5
99,12,22,7
100,13,73,16
101,13,39,5
102,13,28,3
103,14,33,23
104,14,72,6
105,14,52,31
106,14,88,9
107,14,29,41
108,14,30,40
109,15,71,9
110,15,74,11
111,15,78,10
112,15,52,27
113,15,22,5
114,15,72,3
115,15,87,5
116,15,59,24
117,16,62,7
118,17,66,114
119,17,36,60
120,17,46,22
121,17,79,23
122,17,52,3
123,17,86,41
124,17,31,20
125,18,64,3
126,18,19,7
127,18,28,3
128,18,38,9
129,18,70,4
130,19,64,5
131,19,35,13
132,19,74,98
133,19,44,50
134,19,81,4
135,19,47,4
136,19,30,100
137,19,73,6
138,19,53,5
139,19,88,8
140,19,52,15
141,19,26,6
142,19,28,25
143,19,61,3
144,19,62,3
145,20,34,27
146,20,78,3
147,20,82,7
148,20,54,5
149,20,72,3
150,20,58,5
151,21,40,249
152,21,91,76
153,21,82,4
154,21,78,13
155,22,32,31
156,22,40,5
157,22,77,6
158,22,72,24
159,22,58,3
160,22,78,3
161,23,64,4
162,23,24,160
163,23,41,20
164,24,44,20
165,24,81,8
166,24,57,5
167,25,77,5
168,25,50,8
169,25,46,6
170,25,58,5
171,25,62,4
172,25,63,3
173,26,72,7
174,26,74,6
175,26,42,11
176,27,69,14
177,27,77,7
178,27,83,24
179,27,72,22
180,27,56,7
181,27,58,8
182,27,61,9
183,27,31,44
184,28,33,16
185,28,35,7
186,28,73,42
187,28,39,25
188,28,44,29
189,28,45,13
190,28,84,4
191,28,87,194
192,28,88,6
193,28,59,14
194,29,66,15
195,29,36,16
196,29,37,65
197,29,83,7
198,29,60,3
199,29,31,54
200,30,74,13
201,30,38,40
202,30,42,3
203,30,39,5
204,30,76,13
205,30,79,22
206,30,52,5
207,30,53,62
208,30,88,298
209,31,66,21
210,31,90,7
211,31,36,9
212,31,46,9
213,31,79,145
214,31,83,14
215,31,85,3
216,32,74,3
217,32,75,6
218,32,76,18
219,32,79,18
220,32,72,7
221,32,60,3
222,33,35,4
223,33,38,6
224,33,39,7
225,33,44,15
226,34,42,16
227,34,78,19
228,34,71,27
229,34,82,21
230,34,72,4
231,34,55,39
232,34,56,4
233,34,58,6
234,34,59,3
235,35,73,9
236,35,74,39
237,35,44,17
238,35,47,5
239,35,81,4
240,35,53,17
241,35,89,4
242,36,66,737
243,36,37,17
244,36,46,8
245,36,79,9
246,36,86,103
247,37,66,14
248,37,79,21
249,37,85,4
250,37,86,8
251,37,90,28
252,38,64,3
253,38,39,4
254,38,84,5
255,38,88,30
256,39,74,15
257,39,45,12
258,39,84,4
259,40,72,5
260,40,48,5
261,41,72,24
262,42,65,60
263,42,72,12
264,42,43,3
265,42,75,3
266,42,76,9
267,42,55,196
268,42,88,10
269,42,60,5
270,42,62,15
271,42,63,51
272,43,67,15
273,43,62,19
274,43,63,10
275,44,68,28
276,44,72,27
277,44,74,104
278,44,81,3
279,44,59,42
280,45,73,7
281,45,74,10
282,45,47,5
283,45,81,10
284,45,53,29
285,46,66,17
286,46,79,40
287,46,85,31
288,47,64,57
289,47,74,34
290,47,81,7
291,47,53,10
292,47,89,25
293,47,73,4
294,48,78,5
295,48,72,4
296,50,64,13
297,50,51,28
298,50,62,5
299,50,63,31
300,52,64,146
301,52,65,11
302,52,74,5
303,52,53,13
304,52,89,16
305,53,64,5
306,53,70,9
307,53,73,24
308,53,74,28
309,53,81,12
310,53,89,74
311,54,75,9
312,54,67,49
313,54,62,93
314,54,60,7
315,55,65,85
316,55,72,9
317,55,75,3
318,55,62,39
319,55,63,19
320,56,71,4
321,56,80,8
322,56,82,19
323,56,72,25
324,57,74,3
325,58,71,7
326,58,77,26
327,58,78,7
328,58,79,7
329,58,72,3
330,58,91,7
331,58,61,15
332,59,68,64
333,59,72,3
334,59,87,28
335,60,65,17
336,60,67,30
337,60,72,11
338,60,74,6
339,60,75,23
340,60,62,3
341,61,77,19
342,62,65,7
343,62,72,15
344,62,75,77
345,63,65,23
346,63,67,142
347,63,72,10
348,63,75,11
349,63,76,6
350,63,78,50
351,63,82,4
352,64,74,23
353,64,89,16
354,65,67,7
355,65,72,30
356,65,75,9
357,65,76,11
358,66,79,49
359,66,83,4
360,66,85,4
361,66,86,97
362,66,90,9
363,67,75,32
364,68,74,6
365,68,89,3
366,69,72,17
367,69,74,5
368,69,76,5
369,69,77,4
370,69,82,31
371,71,78,42
372,71,82,21
373,71,85,3
374,72,74,3
375,72,75,3
376,72,76,10
377,72,78,26
378,72,79,39
379,72,80,9
380,72,91,24
381,73,74,9
382,73,81,9
383,73,89,3
384,73,84,5
385,74,81,4
386,74,89,78
387,79,85,8
388,79,90,10
389,83,85,25
