node,node_name,node_type
1,1,513
2,2,15
3,3,17
4,4,21
5,5,29
6,6,35
7,7,39
8,8,48
9,9,50
10,10,56
11,11,63
12,12,66
13,13,779
14,14,79
15,15,80
16,16,87
17,17,601
18,18,603
19,19,95
20,20,784
21,21,101
22,22,102
23,23,105
24,24,113
25,25,116
26,26,118
27,27,119
28,28,120
29,29,122
30,30,123
31,31,533
32,32,131
33,33,132
34,34,134
35,35,662
36,36,153
37,37,154
38,38,164
39,39,172
40,40,179
41,41,181
42,42,184
43,43,185
44,44,194
45,45,196
46,46,709
47,47,205
48,48,209
49,49,210
50,50,211
51,51,213
52,52,222
53,53,223
54,54,743
55,55,751
56,56,240
57,57,242
58,58,762
59,59,765
60,60,255
61,61,771
62,62,265
63,63,778
64,64,267
65,65,268
66,66,271
67,68,273
68,69,786
69,70,275
70,71,791
71,72,285
72,73,804
73,74,819
74,75,311
75,76,826
76,77,845
77,78,335
78,79,875
79,80,150
80,81,938
81,82,939
82,83,431
83,84,448
84,85,987
85,86,481
86,87,492
87,88,494
88,89,253
89,90,496
90,91,499
91,92,511
