edge,from_node,to_node
1,1,3
2,1,4
3,1,14
4,2,11
5,2,12
6,3,6
7,3,9
8,3,11
9,3,12
10,3,13
11,3,15
12,3,16
13,3,19
14,3,25
15,4,11
16,4,12
17,4,14
18,5,11
19,6,7
20,7,11
21,7,16
22,7,29
23,9,11
24,9,12
25,9,13
26,9,16
27,11,12
28,11,16
29,11,19
30,12,16
31,12,29
32,12,19
33,13,16
34,14,20
35,14,28
36,14,31
37,14,16
38,14,19
39,15,23
40,15,28
41,15,19
42,16,17
43,16,24
44,16,30
45,16,32
46,16,36
47,16,37
48,16,19
49,17,24
50,19,23
51,19,24
52,19,28
53,19,31
54,19,33
55,19,37
56,20,27
57,21,24
58,21,29
59,22,27
60,22,35
61,23,24
62,24,28
63,24,32
64,25,34
65,27,34
66,29,35
67,29,36
68,30,32
69,30,34
70,30,37
71,32,34
72,32,37
73,32,38
74,32,39
75,33,39
76,34,35
