edge,from_node,to_node
1,1,5
2,1,26
3,1,40
4,1,59
5,1,61
6,2,4
7,2,28
8,2,48
9,2,55
10,2,59
11,3,7
12,3,8
13,3,35
14,3,61
15,3,67
16,4,49
17,4,59
18,4,65
19,4,73
20,5,7
21,5,40
22,5,51
23,5,66
24,6,14
25,6,20
26,6,46
27,6,67
28,6,99
29,7,21
30,7,69
31,7,95
32,8,32
33,8,53
34,8,58
35,8,74
36,9,23
37,9,40
38,9,42
39,9,72
40,9,94
41,10,28
42,10,31
43,10,37
44,10,73
45,10,83
46,11,14
47,11,20
48,11,27
49,11,31
50,11,63
51,12,30
52,12,37
53,12,38
54,12,52
55,12,90
56,13,21
57,13,36
58,13,37
59,13,54
60,13,57
61,14,21
62,14,44
63,14,79
64,15,43
65,15,48
66,15,50
67,15,78
68,15,80
69,16,28
70,16,40
71,16,58
72,16,68
73,16,79
74,17,22
75,17,29
76,17,53
77,17,60
78,17,81
79,18,29
80,18,62
81,18,82
82,18,84
83,18,89
84,19,46
85,19,63
86,19,71
87,19,80
88,19,95
89,20,60
90,20,62
91,20,68
92,21,51
93,21,94
94,22,33
95,22,59
96,22,67
97,22,97
98,23,28
99,23,38
100,23,48
101,23,81
102,24,32
103,24,42
104,24,56
105,24,70
106,24,86
107,25,31
108,25,32
109,25,50
110,25,52
111,25,85
112,26,46
113,26,64
114,26,90
115,26,91
116,27,43
117,27,49
118,27,87
119,27,95
120,28,98
121,29,39
122,29,68
123,29,77
124,30,32
125,30,33
126,30,82
127,30,99
128,31,57
129,31,97
130,32,89
131,33,41
132,33,44
133,33,93
134,34,47
135,34,50
136,34,72
137,34,80
138,34,85
139,35,45
140,35,57
141,35,72
142,35,83
143,36,38
144,36,50
145,36,58
146,36,69
147,37,66
148,37,99
149,38,76
150,38,96
151,39,60
152,39,78
153,39,80
154,39,88
155,40,84
156,41,43
157,41,49
158,41,53
159,41,71
160,42,43
161,42,64
162,42,83
163,43,66
164,44,64
165,44,79
166,44,89
167,45,55
168,45,65
169,45,76
170,45,85
171,46,81
172,46,85
173,47,54
174,47,66
175,47,72
176,47,86
177,48,59
178,48,84
179,49,55
180,49,87
181,50,52
182,51,61
183,51,71
184,51,94
185,52,55
186,52,96
187,53,67
188,53,76
189,54,70
190,54,82
191,54,88
192,55,82
193,56,62
194,56,70
195,56,88
196,56,93
197,57,75
198,57,84
199,58,87
200,58,96
201,60,97
202,60,100
203,61,75
204,61,98
205,62,88
206,62,100
207,63,77
208,63,82
209,63,92
210,64,90
211,64,98
212,65,89
213,65,92
214,65,94
215,66,68
216,67,74
217,68,89
218,69,76
219,69,91
220,69,99
221,70,77
222,70,97
223,71,73
224,71,96
225,72,75
226,73,74
227,73,86
228,74,83
229,74,91
230,75,81
231,75,90
232,76,98
233,77,79
234,77,83
235,78,79
236,78,87
237,78,94
238,80,100
239,81,100
240,84,97
241,85,88
242,86,93
243,86,95
244,87,92
245,90,96
246,91,98
247,91,99
248,92,93
249,92,100
250,93,95
