edge,from_node,to_node
1,1,118
2,1,3
3,1,117
4,1,59
5,2,3
6,2,4
7,2,115
8,2,60
9,3,5
10,3,51
11,4,5
12,4,6
13,4,112
14,5,6
15,5,7
16,5,91
17,6,7
18,6,8
19,7,8
20,7,9
21,7,64
22,7,108
23,8,59
24,8,11
25,8,107
26,9,85
27,9,80
28,10,11
29,10,12
30,11,12
31,11,13
32,12,13
33,12,14
34,12,87
35,13,14
36,13,49
37,13,90
38,14,15
39,14,95
40,15,23
41,15,73
42,15,41
43,15,29
44,15,61
45,15,96
46,16,18
47,16,115
48,17,18
49,17,49
50,18,19
51,18,20
52,19,20
53,19,117
54,20,60
55,20,108
56,20,38
57,21,22
58,21,23
59,22,23
60,22,24
61,23,24
62,23,59
63,24,26
64,24,84
65,24,110
66,25,26
67,25,75
68,26,28
69,26,78
70,27,28
71,27,29
72,27,76
73,28,29
74,28,30
75,29,30
76,29,79
77,30,32
78,30,108
79,31,86
80,31,51
81,32,34
82,32,58
83,32,38
84,33,34
85,33,35
86,33,93
87,33,111
88,34,35
89,34,36
90,35,36
91,35,37
92,35,110
93,36,37
94,36,62
95,36,117
96,37,38
97,37,39
98,38,112
99,39,40
100,39,41
101,40,41
102,40,42
103,40,83
104,41,42
105,41,87
106,41,93
107,42,76
108,42,73
109,43,44
110,43,45
111,44,45
112,44,98
113,45,46
114,45,47
115,46,47
116,46,95
117,47,48
118,47,49
119,48,49
120,48,50
121,49,51
122,50,51
123,50,52
124,51,52
125,51,53
126,52,54
127,52,109
128,52,94
129,52,105
130,53,54
131,53,55
132,54,55
133,54,56
134,55,56
135,55,57
136,55,95
137,56,57
138,56,58
139,57,58
140,57,99
141,58,59
142,58,60
143,59,61
144,59,87
145,60,61
146,61,62
147,62,64
148,63,64
149,63,81
150,64,66
151,65,66
152,65,67
153,66,67
154,66,68
155,67,68
156,67,69
157,67,118
158,68,69
159,68,70
160,69,71
161,69,103
162,70,71
163,70,72
164,71,72
165,71,73
166,72,73
167,72,78
168,73,75
169,74,75
170,74,76
171,75,76
172,75,77
173,75,99
174,76,78
175,77,93
176,77,104
177,77,91
178,77,88
179,78,79
180,78,89
181,79,80
182,80,81
183,80,82
184,81,82
185,81,83
186,82,83
187,82,84
188,83,84
189,83,92
190,83,117
191,84,85
192,84,86
193,85,86
194,85,87
195,86,88
196,86,103
197,87,88
198,88,89
199,89,90
200,89,91
201,90,91
202,90,92
203,91,93
204,92,94
205,94,96
206,95,97
207,96,97
208,97,98
209,97,99
210,98,99
211,98,100
212,99,117
213,100,101
214,100,102
215,101,102
216,101,103
217,102,103
218,102,104
219,103,104
220,103,105
221,104,106
222,105,107
223,106,107
224,106,108
225,107,108
226,108,110
227,109,110
228,109,111
229,111,112
230,113,114
231,113,115
232,114,115
233,114,116
234,115,117
235,116,117
236,116,118
